instance,problem_seed,problem_name,n,k,feasible_dimension,block_strength,mixer,mixer_edges,gamma,beta,expectation,normalized_gap,probability_optimum,feasibility_probability,state_norm,objective_evaluations,optimizer_success,local_refinement_converged
18,22145936,block_corr_n8_k3_seed22145936,8,3,56,0.8147826086956521,structure,8,2.2381705195993002,1.3805321726054287,3.433901944415194,0.12302290543462116,0.043332668523347696,0.9999999999999991,0.9999999999999996,617,True,True
18,22145936,block_corr_n8_k3_seed22145936,8,3,56,0.8147826086956521,complete,28,0.4192464728439707,0.3683079356118894,3.4012324632043,0.11337528457808353,0.019761453760434155,1.000000000000002,1.0000000000000009,357,True,True
19,22250665,block_corr_n8_k3_seed22250665,8,3,56,0.8278260869565217,ring,8,1.7696436488724738,0.2888767290224258,3.2599108494985125,0.11722620456093394,0.008160130256726641,1.0000000000000002,1.0,338,True,True
19,22250665,block_corr_n8_k3_seed22250665,8,3,56,0.8278260869565217,structure,8,0.0534037052168986,3.066154287227904,3.254989654602134,0.11576625812942705,0.02247839999188393,1.0000000000000009,1.0000000000000004,341,True,True
19,22250665,block_corr_n8_k3_seed22250665,8,3,56,0.8278260869565217,complete,28,2.5917746143688474,1.2637535254216707,3.182707757815795,0.09432274705177782,0.03935459856617152,1.0000000000000013,1.0000000000000007,541,True,True
20,22355394,block_corr_n8_k3_seed22355394,8,3,56,0.8408695652173912,ring,8,1.789031807768639,0.20276424317617966,3.513273566861568,0.091244177514021,0.011590058065348352,1.0000000000000004,1.0000000000000002,357,True,True
20,22355394,block_corr_n8_k3_seed22355394,8,3,56,0.8408695652173912,structure,8,0.056178690019673246,3.141592653589793,3.4928898242361135,0.08497070694041986,0.0245321046965251,0.9999999999999999,1.0,334,True,True
20,22355394,block_corr_n8_k3_seed22355394,8,3,56,0.8408695652173912,complete,28,1.864744998332254,0.5360212739873484,3.457272463294539,0.07400881098823751,0.03302265766007493,1.000000000000002,1.0000000000000009,354,True,True
21,22460123,block_corr_n8_k3_seed22460123,8,3,56,0.8539130434782608,ring,8,3.791629944209437,0.20072633407841617,3.444939814139689,0.11308771212698558,0.0048758004494875926,1.0000000000000009,1.0000000000000004,342,True,True
21,22460123,block_corr_n8_k3_seed22460123,8,3,56,0.8539130434782608,structure,8,0.0,1.8484561759151594,3.334636095737621,0.08171501781592858,0.018750841421044807,1.000000000000001,1.0000000000000004,334,True,True
21,22460123,block_corr_n8_k3_seed22460123,8,3,56,0.8539130434782608,complete,28,2.511965369290969,1.265823192118423,3.344198032206368,0.0844346333846646,0.03772879520497156,1.0000000000000018,1.0000000000000009,539,True,True
22,22564852,block_corr_n8_k3_seed22564852,8,3,56,0.8669565217391304,ring,8,3.74373759110557,0.3001096087676715,3.6596784447189967,0.07437374580414989,0.0055271070027868244,1.0000000000000009,1.0000000000000004,365,True,True
22,22564852,block_corr_n8_k3_seed22564852,8,3,56,0.8669565217391304,structure,8,0.03433358386511985,3.141592653589793,3.6004882750179497,0.05670812814067986,0.009115738740413269,0.9999999999999999,0.9999999999999998,341,True,True
22,22564852,block_corr_n8_k3_seed22564852,8,3,56,0.8669565217391304,complete,28,2.46668116592169,1.264903681659616,3.5799469388702287,0.050577458258920176,0.036061857523685695,1.0000000000000018,1.0000000000000009,517,True,True
23,22669581,block_corr_n8_k3_seed22669581,8,3,56,0.8799999999999999,ring,8,1.7091338396959608,0.27716648873992156,3.559332164088417,0.1635290955620223,0.008998572272515916,1.0000000000000009,1.0000000000000004,341,True,True
23,22669581,block_corr_n8_k3_seed22669581,8,3,56,0.8799999999999999,structure,8,0.17272219860213225,3.141592653589793,3.4704651244046385,0.13923334500969692,0.036015245668824164,1.000000000000001,1.0000000000000007,427,True,True
23,22669581,block_corr_n8_k3_seed22669581,8,3,56,0.8799999999999999,complete,28,1.8451553483531984,0.5431001907784894,3.41832309375109,0.12497800608360954,0.052356186288358426,1.000000000000002,1.0000000000000009,348,True,True
